"","Community","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","count_311","count_crime"
"15","Azusa",3,1,0,22,48,32,7,2,15,67,0,0,11,0,19,4,6,17.497,0,39.804,6.812,11.555,0.563,0,0.602,0.023,0.035,1.665,0,2.113,0.085,0.125,15.831,0,37.69,6.725,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.668,0,0,0,0,142.668,0,0
"16","Baldwin Hills / Crenshaw",6,2,10,30,54,37,16,9,40,52,0,0,35,32,64,12,44,55.673,57.858,134.071,20.434,84.725,1.791,0.694,2.026,0.068,0.248,5.299,2.4,7.116,0.257,0.908,50.371,55.459,126.956,20.176,83.815,0,0,0,0,21,0,0,0,5,1,2,7,0,0,0,0,0,0,0,0,0,0,404.761,21,14,0,35,439.761,198,28
"17","Baldwin Park",3,1,0,22,48,32,14,1,0,45,0,0,7,14,20,0,10,11.135,25.312,41.899,0,19.257,0.357,0.305,0.635,0,0.057,1.059,1.05,2.223,0,0.207,10.073,24.264,39.675,0,19.05,1.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.603,0,0,0,0,142.603,0,0
"18","Bel Air-Beverly Crest",4,3,4,26,50,28,0,0,0,2,0,0,0,1,2,0,0,0,1.808,4.19,0,0,0,0.022,0.064,0,0,0,0.075,0.222,0,0,0,1.733,3.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998,0,0,0,0,7.998,20,1
"19","Bell",7,1,0,33,63,40,13,0,0,26,0,0,0,4,0,9,12,0,7.232,0,15.325,23.107,0,0.087,0,0.051,0.067,0,0.3,0,0.193,0.248,0,6.932,0,15.132,22.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.664,0,0,0,0,71.664,0,0
"20","Bell Gardens",7,1,0,33,58,40,51,0,0,21,0,0,8,8,17,0,5,12.726,14.464,35.614,0,9.628,0.408,0.174,0.539,0,0.028,1.21,0.6,1.889,0,0.103,11.512,13.864,33.723,0,9.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.432,0,0,0,0,93.432,0,0
"21","Bellflower",7,4,0,32,58,40,54,6,0,33,2,7,14,11,6,2,17,22.269,19.888,12.57,3.406,32.735,0.716,0.24,0.191,0.011,0.096,2.119,0.825,0.666,0.043,0.351,20.148,19.064,11.903,3.363,32.384,0,0,0,0,0,0,0,0,20,4,9,2,2,4,0,0,0,0,0,0,0,0,130.868,0,35,0,35,165.868,0,0
"22","Beverly Hills",5,3,0,26,50,33,0,0,0,22,0,0,1,0,1,0,3,1.591,0,2.095,0,5.777,0.051,0,0.032,0,0.017,0.151,0,0.111,0,0.062,1.439,0,1.984,0,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.463,0,0,0,0,31.463,0,1
"23","Boyle Heights",4,1,14,24,51,34,55,8,180,103,1,2,26,25,48,18,48,41.358,45.201,100.553,30.651,92.426,1.33,0.543,1.52,0.104,0.269,3.936,1.875,5.335,0.385,0.991,37.418,43.327,95.218,30.262,91.435,0,53,54,184,15,2,7,0,0,5,14,8,1,2,0,0,0,0,0,0,0,0,415.189,259,24,0,283,698.189,275,31
"24","Bradbury",3,5,0,25,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Brentwood",5,3,11,26,50,33,0,0,0,11,0,0,1,6,4,1,4,1.591,10.848,8.38,1.703,7.703,0.051,0.131,0.127,0.006,0.023,0.151,0.45,0.445,0.021,0.083,1.439,10.398,7.935,1.681,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.225,0,0,0,0,41.225,22,4
"26","Burbank",2,5,0,25,43,28,5,1,0,61,0,0,12,13,19,6,18,19.089,23.504,39.804,10.217,34.661,0.612,0.284,0.602,0.034,0.102,1.815,0.975,2.11,0.129,0.373,17.268,22.529,37.69,10.088,34.288,0,0,0,0,0,0,0,0,11,7,25,5,0,0,0,0,0,0,0,0,0,0,188.275,0,41,0,41,229.275,1,0
"27","Calabasas",2,3,0,27,45,33,0,0,0,4,0,0,1,0,0,0,0,1.591,0,0,0,0,0.051,0,0,0,0,0.151,0,0,0,0,1.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.591,0,0,0,0,5.591,0,0
"28","Calabasas and Hidden Hills",2,3,0,27,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Canoga Park",2,5,3,27,45,30,10,0,18,24,0,0,4,10,37,1,16,6.363,18.08,77.511,1.703,30.809,0.205,0.218,1.172,0.006,0.089,0.605,0.75,4.113,0.021,0.331,5.757,17.332,73.397,1.681,30.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.466,0,0,0,0,158.466,208,11
"30","Canyon Country",2,5,0,21,38,25,1,0,0,0,0,0,3,0,0,0,0,4.772,0,0,0,0,0.154,0,0,0,0,0.454,0,0,0,0,4.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.772,0,0,0,0,4.772,0,0
"31","Carson",8,2,0,35,64,44,9,0,0,39,0,0,13,21,74,26,42,20.679,37.969,155.022,44.272,80.872,0.665,0.457,2.341,0.148,0.235,1.967,1.575,8.226,0.559,0.866,18.709,36.395,146.791,43.714,80.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.814,0,0,0,0,377.814,0,0
"32","Central Alameda",6,2,9,33,59,40,2,2,0,49,0,0,59,31,6,3,20,93.849,56.051,12.57,5.108,38.512,3.021,0.673,0.189,0.017,0.113,8.936,2.325,0.666,0.064,0.413,84.913,53.727,11.901,5.044,38.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.09,0,0,0,0,255.09,86,11
"33","Cerritos",7,4,0,32,58,38,0,0,0,17,0,0,5,3,3,8,8,7.953,5.424,6.285,13.622,15.404,0.255,0.066,0.096,0.046,0.045,0.757,0.225,0.333,0.171,0.165,7.195,5.199,5.952,13.45,15.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.688,0,0,0,0,65.688,0,0
"34","Charter Oak",3,5,0,22,48,32,0,0,0,1,0,0,4,1,8,1,2,6.362,1.808,16.759,1.703,3.851,0.204,0.022,0.254,0.006,0.011,0.606,0.075,0.889,0.021,0.041,5.756,1.733,15.87,1.681,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.483,0,0,0,0,31.483,0,0
"35","Chatsworth",2,5,12,27,38,30,17,1,0,1,0,0,7,7,57,5,0,11.134,12.656,119.406,8.514,0,0.357,0.152,1.806,0.029,0,1.06,0.525,6.337,0.107,0,10.073,12.131,113.071,8.406,0,0,0,63,180,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,152.71,180,11,0,191,343.71,488,9
"36","Chinatown",4,1,1,24,51,34,54,17,0,97,0,0,5,8,2,56,47,7.953,14.464,4.19,95.356,90.5,0.255,0.173,0.063,0.319,0.263,0.757,0.6,0.222,1.203,0.97,7.195,13.865,3.967,94.152,89.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.463,0,0,0,0,309.463,67,44
"37","Citrus",3,1,0,22,48,32,4,0,0,7,0,0,0,1,0,0,0,0,1.808,0,0,0,0,0.022,0,0,0,0,0.075,0,0,0,0,1.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.808,0,0,0,0,8.808,0,0
"38","Claremont",3,1,0,25,41,27,6,0,0,3,0,0,1,0,0,0,1,1.591,0,0,0,1.926,0.051,0,0,0,0.006,0.151,0,0,0,0.021,1.439,0,0,0,1.905,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.517,12,0,0,12,18.517,0,0
