FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length
842,262706,5,3,11,14.798,0,14.798,0.000208584264662,0.063492683365587
843,262802,5,3,11,17.058,0,17.058,0.000321622956989,0.111849986589859
844,264000,5,3,11,1.926,0,1.926,0.000182405781446,0.07082348905183
845,264102,5,3,11,0,0,0,3.8716842919e-05,0.029744135391963
846,264103,5,3,11,2.808,0,2.808,2.2509865394e-05,0.022807221519487
847,264301,5,3,11,15.562,0,15.562,4.1025142675e-05,0.02693982428219
848,264302,5,3,11,14.722,0,14.722,0.00016501751493,0.068843887728506
849,265100,5,3,5,2,0,2,0.000230714517618,0.073916412522067
850,265201,5,3,5,4.181,0,4.181,4.2854235346e-05,0.03469813804026
851,265202,5,3,5,38.181,0,38.181,5.6182783518e-05,0.036064800514421
852,265301,5,3,5,15.102,0,15.102,0.000155856498219,0.061414006428061
853,265303,5,3,5,0,0,0,1.4453778311e-05,0.016554443280903
854,265304,5,3,5,2.926,0,2.926,1.2792030253e-05,0.017223513937521
855,265305,5,3,5,11.116,0,11.116,3.0351779014e-05,0.029346838924364
856,265410,5,3,11,1,0,1,5.4979946711e-05,0.043125929955317
857,265420,5,3,5,0,0,0,7.1369492578e-05,0.037055658329046
858,265510,5,3,5,12.585,0,12.585,3.7445123045e-05,0.025213998129614
859,265520,5,3,5,45.119,0,45.119,7.4942496072e-05,0.041214722255293
860,265601,5,3,5,16.127,0,16.127,6.0844201244e-05,0.034798360847845
861,265602,5,3,5,2.591,0,2.591,3.2801744543e-05,0.028597891587314
862,265700,5,3,5,5,0,5,0.000120418236964,0.046850617382983
863,267100,5,3,5,10.777,0,10.777,0.00010779444869,0.04343502381913
864,267200,5,3,5,39.989,0,39.989,0.000114957593353,0.045660059843046
865,267300,5,3,11,41.658,0,41.658,4.1981636318e-05,0.026369068369678
866,267402,5,3,11,16.872,0,16.872,4.1868884653e-05,0.027068936545989
867,267403,5,3,11,4.926,120,124.926,2.3970937301e-05,0.02362488909698
868,267404,5,3,11,6.851,0,6.851,2.7772102871e-05,0.022140378708214
869,267501,5,3,11,14.61,0,14.61,4.4309963978e-05,0.027650247633266
870,267502,5,3,11,28.059,0,28.059,4.2439604267e-05,0.027295055253796
871,267600,5,3,11,24.772,0,24.772,0.000123930262201,0.046702742219715
872,267700,5,2,11,17.389,0,17.389,7.9373747765e-05,0.036605528037828
873,267800,5,3,5,20.595,169,189.595,0.000112387513677,0.046108649142364
874,267901,5,3,5,0,0,0,0.000109329621794,0.045462860664054
875,267902,5,3,5,2.591,0,2.591,7.5969075768e-05,0.039622182919362
876,269000,5,2,5,11.166,0,11.166,0.000222954685424,0.088588853457272
877,269100,5,2,5,6.021,0,6.021,8.1949913304e-05,0.038036668176659
878,269300,5,2,5,3.591,0,3.591,0.000215620009668,0.06127261080038
879,269500,5,2,5,1.808,0,1.808,0.00013616592227,0.053044109207389
880,269601,5,2,10,14.516,0,14.516,3.2575415753e-05,0.022591417128043
881,269602,5,2,10,1.808,0,1.808,2.8371454525e-05,0.021854798466992
882,269700,5,2,10,16.073,0,16.073,8.7629083953e-05,0.045631748397437
883,269800,5,2,5,18.277,0,18.277,4.559719702e-05,0.037277555206032
884,269903,5,2,5,15.463,0,15.463,2.7703632128e-05,0.022996250672321
885,269904,5,2,5,28.217,0,28.217,3.293185612e-05,0.027174504208407
886,269905,5,2,5,23.664,0,23.664,2.3233745936e-05,0.025090622175777
887,269906,5,2,5,10.11,0,10.11,2.0302900638e-05,0.02261638078276
888,269907,5,2,5,13.371,0,13.371,2.701965135e-05,0.023593718641467
889,270100,5,2,5,38.858,0,38.858,5.5714464262e-05,0.041364580265745
890,270200,5,2,10,62.831,4,66.831,7.4603303815e-05,0.045740018582986
891,270300,4,2,10,39.305,0,39.305,9.5338811733e-05,0.041856293231715
892,271100,5,2,5,37.363,0,37.363,7.8525242954e-05,0.045232140860363
893,271200,5,2,11,27.38,0,27.38,5.1195226976e-05,0.043558418866104
894,271300,5,2,11,19.4,0,19.4,0.000142768263337,0.060006792896166
895,271400,5,2,11,6.285,0,6.285,0.000112142511378,0.044324138944843
896,271500,5,2,11,1.591,3,4.591,8.8826412766e-05,0.03964750819454
897,271600,5,2,11,4.095,0,4.095,8.8201079705e-05,0.038484244094881
898,271701,5,2,5,1,0,1,9.7327175012e-05,0.042235917896978
899,271702,5,2,5,37.865,0,37.865,6.9143735543e-05,0.040033038998234
900,271801,5,2,5,5.616,0,5.616,4.7121657311e-05,0.029137479233089
901,271802,5,2,5,9.302,0,9.302,5.6358663051e-05,0.03064644609502
902,271901,5,2,11,1,0,1,6.395886269e-05,0.032366553824949
903,271902,5,2,11,0,0,0,9.0197748559e-05,0.038565617693994
904,272100,5,2,11,1.808,0,1.808,0.000117037248342,0.04529433778376
905,272201,5,2,11,29.767,5,34.767,2.5372275765e-05,0.02031536899965
906,272202,5,2,11,20.999,0,20.999,3.0208552231e-05,0.026882988766865
907,272301,5,2,11,4.19,0,4.19,5.8946750691e-05,0.038484042468259
908,272302,5,2,11,1.926,0,1.926,4.9294296434e-05,0.032062117552005
909,273100,5,3,11,53.964,0,53.964,0.000114736401057,0.047625335880733
910,273200,5,3,11,110.094,36,146.094,6.2639379251e-05,0.034704837161194
911,273300,5,3,11,232.108,21,253.108,5.5805020231e-05,0.034207599196828
912,273402,5,3,11,202.621,0,202.621,5.9992304093e-05,0.034868858817425
913,273502,5,3,11,121.93,0,121.93,5.8666842619e-05,0.034036083602664
914,273600,5,3,11,71.881,0,71.881,5.7438478989e-05,0.033233742581712
915,273700,5,3,11,8.379,0,8.379,6.7366906346e-05,0.033602534101099
916,273800,5,2,11,43.029,0,43.029,7.2364703197e-05,0.051685905828296
917,273902,5,3,11,43.603,71,114.603,9.1947157621e-05,0.043801054558049
918,274100,5,2,11,30.368,0,30.368,6.127865245e-05,0.044456707924087
919,274202,5,3,11,25.228,0,25.228,0.000121338918813,0.075528654817781
920,275101,5,2,11,18.011,0,18.011,3.4137439032e-05,0.030627080303684
921,275102,5,2,11,28.213,0,28.213,6.0329131464e-05,0.036615842611752
922,275200,5,2,11,3.926,0,3.926,4.5286036967e-05,0.032340596383098
923,275302,5,2,11,21.035,0,21.035,0.000175546789822,0.055251218798514
924,275311,5,2,11,19.801,0,19.801,0.000126079704382,0.051770517120278
925,275400,5,2,11,22.515,0,22.515,7.3276589607e-05,0.040239164917528
926,275500,5,2,11,16.185,0,16.185,7.6865687505e-05,0.035635202972402
927,275602,5,2,11,26.34,0,26.34,0.000252371890993,0.08726249020877
928,275603,5,2,11,44.497,0,44.497,0.000100313550719,0.051989980845106
929,276000,5,2,11,15.368,0,15.368,0.000228113193508,0.067542629576477
930,276100,5,2,11,30.908,0,30.908,9.5795664782e-05,0.079630700952915
931,276400,5,2,11,3.903,0,3.903,0.000124466316993,0.047181306168541
932,276500,5,2,11,5.998,18,23.998,0.000116271540502,0.045683624102434
933,276601,5,4,11,14.7,0,14.7,0.000218467743913,0.071144345451882
934,276603,5,4,11,26.66,0,26.66,4.4346826656e-05,0.031071802248965
935,276604,5,4,11,23.47,0,23.47,8.1771476675e-05,0.050093072328876
936,277000,5,2,11,8.203,0,8.203,0.000224264242064,0.063558861686421
937,277100,5,2,11,36.468,0,36.468,0.000120635877541,0.048037802108862
938,277200,5,2,11,32.841,0,32.841,0.000101610830505,0.044235217818195
939,277400,5,2,11,420.677,0,420.677,6.2313578795e-05,0.03154592937366
940,278001,5,2,11,35.886,0,35.886,0.000157499051904,0.080177408432292
941,278102,5,4,11,13.426,0,13.426,0.000177759333462,0.09284710479806
942,291110,8,2,15,5.442,0,5.442,6.9352759037e-05,0.035289140968603
943,291120,8,2,15,25.996,0,25.996,6.8354913438e-05,0.033298206653631
944,291130,8,2,15,5.19,0,5.19,0.000125884902125,0.04655949902331
945,291210,8,2,15,7.946,0,7.946,0.000121108468901,0.045916042429517
946,291220,8,2,15,8.368,0,8.368,7.9778750707e-05,0.036932713196156
947,291300,8,2,15,65.119,0,65.119,0.000234197312901,0.096642776027439
948,292000,8,4,15,20.662,0,20.662,0.000389715707079,0.096278833403155
949,293201,8,4,15,10.463,0,10.463,0.000104269617299,0.041639654439967
950,293202,8,4,15,14.585,0,14.585,0.000102485910134,0.042679133162671
951,293301,8,4,15,0,0,0,8.2278201058e-05,0.042268586983339
952,293302,8,4,15,0,0,0,0.000108980771188,0.045439366391785
953,293304,8,4,15,28.972,0,28.972,5.5441377242e-05,0.030194360116146
954,293306,8,4,15,0,0,0,6.1187353987e-05,0.035661546381688
955,293307,8,4,15,10.953,0,10.953,3.2850605575e-05,0.028062245269841
956,294110,8,4,15,1,0,1,9.6502887552e-05,0.049848053801371
957,294120,8,4,15,23.622,0,23.622,0.000151970732431,0.052899775179028
958,294200,8,4,15,13,0,13,9.2853597916e-05,0.03924909890342
959,294301,8,4,15,12.205,0,12.205,6.9417539171e-05,0.035490513741911
960,294302,8,4,15,10.19,0,10.19,8.1798565112e-05,0.043678845578455
961,294410,8,4,15,42.677,0,42.677,8.1171775614e-05,0.038862319796707
962,294421,8,4,15,27.778,0,27.778,6.469946209e-05,0.048051848218632
963,294510,8,4,15,14.653,0,14.653,5.0447049037e-05,0.029116218505807
964,294520,8,4,15,37.301,0,37.301,4.7122796872e-05,0.028086982317805
965,294610,8,4,15,8.998,0,8.998,8.0194234226e-05,0.036070218611302
966,294620,8,4,15,68.377,0,68.377,8.1926120362e-05,0.038733865366261
967,294701,8,4,15,62.127,40,102.127,0.000170526582765,0.059856997675192
968,294810,8,4,15,24.708,0,24.708,3.1193228412e-05,0.022602931519351
969,294820,8,4,15,26.143,0,26.143,3.7327767377e-05,0.024697437216831
970,294830,8,4,15,93.602,0,93.602,8.6222439292e-05,0.041568884757774
