"","FID","Lon","Lat"
"1",1,-118.472928236808,34.1838448575972
"2",1,-118.469551234956,34.1792598570948
"3",1,-118.469173235313,34.1787458574565
"4",1,-118.468977234921,34.1784588567402
"5",1,-118.468882234763,34.1783078573412
"6",1,-118.468794235573,34.1781668567636
"7",1,-118.468623234863,34.1778698569617
"8",1,-118.468464234865,34.1775678573769
"9",1,-118.468290234667,34.1771968567736
"10",1,-118.468160234576,34.1768858571232
"11",1,-118.468043235113,34.1765708564759
"12",1,-118.46793923525,34.1762528564843
"13",1,-118.467849234955,34.1759318569193
"14",1,-118.467772235229,34.1756088569761
"15",1,-118.467720234402,34.1753428566636
"16",1,-118.467660235019,34.1749568570785
"17",1,-118.467625234389,34.1746288569706
"18",1,-118.467603234969,34.1742998563632
"19",1,-118.467549234701,34.1721108565383
"20",1,-118.467528234932,34.1712588559036
"21",1,-118.467527234425,34.1710928564483
"22",1,-118.467539234423,34.1708008561415
"23",1,-118.467570234018,34.1705088563022
"24",1,-118.4676192344,34.1702188558861
"25",1,-118.467687234515,34.1699318562246
"26",1,-118.467772234109,34.1696478560068
"27",1,-118.467875234665,34.1693698561553
"28",1,-118.46794923481,34.169194855824
"29",1,-118.468088234806,34.1689098557578
"30",1,-118.468185234176,34.1687328558895
"31",1,-118.468555234614,34.168116856328
"32",1,-118.468870234423,34.1675908559895
"33",1,-118.469009234841,34.1673328559796
"34",1,-118.46913123435,34.1670688561994
"35",1,-118.469237234551,34.1668008560371
"36",1,-118.469310234871,34.1665748558969
"37",1,-118.469325234315,34.1665278553799
"38",1,-118.469374233908,34.1663438555478
"39",1,-118.469434234105,34.1660648555508
"40",1,-118.469476233999,34.1657848552803
"41",1,-118.469500234661,34.1655028558448
"42",1,-118.469504234384,34.1652808558424
"43",1,-118.46950623429,34.1652198552679
"44",1,-118.469497234582,34.1648278553985
"45",1,-118.469493234077,34.16465885556
"46",1,-118.469454234395,34.1630308549206
"47",1,-118.469443811219,34.1629490760963
"48",1,-118.46944123353,34.1629288555391
"49",1,-118.469446233593,34.1628528552129
"50",1,-118.469450233506,34.162775855355
"51",1,-118.469449233624,34.162731855055
"52",1,-118.46943923393,34.1621538550899
"53",1,-118.469421233519,34.1611078551607
"54",1,-118.46941823379,34.1609248550322
"55",1,-118.469391233595,34.1604128552246
"56",1,-118.469394233843,34.1599648546994
"57",1,-118.469595233543,34.1600728550104
"58",1,-118.469668233916,34.1601168551411
"59",1,-118.469742234084,34.1601598551422
"60",1,-118.469774234313,34.1601798550047
"61",1,-118.470019233872,34.1603428552249
"62",1,-118.470207234415,34.1604838554506
"63",1,-118.470491234156,34.1607008549781
"64",1,-118.470683234172,34.1608898549463
"65",1,-118.470790234243,34.1610048553893
"66",1,-118.470892234517,34.1611228548006
"67",1,-118.470990233838,34.1612438547113
"68",1,-118.471082234505,34.1613678548002
"69",1,-118.471169234048,34.1614938549919
"70",1,-118.471243234059,34.1616118550289
"71",1,-118.471437233923,34.1619168553366
"72",1,-118.471757234705,34.1624228553985
"73",1,-118.471804234065,34.1624948547598
"74",1,-118.472195234592,34.1630858551514
"75",1,-118.472279234494,34.1632118554562
"76",1,-118.472412234747,34.1633948553013
"77",1,-118.47255723476,34.1635718552377
"78",1,-118.47271323462,34.1637428555248
"79",1,-118.472855234834,34.1638828549946
"80",1,-118.473056235052,34.1640618549378
"81",1,-118.473242234604,34.1642098551886
"82",1,-118.473437234737,34.1643498548074
"83",1,-118.473534235089,34.1644088549583
"84",1,-118.473619235329,34.1644608555927
"85",1,-118.473715234635,34.1645188552041
"86",1,-118.473929234579,34.1646368550396
"87",1,-118.474189235262,34.1647648552181
"88",1,-118.474421235197,34.1648498548343
"89",1,-118.474738234784,34.1649528549655
"90",1,-118.475060235432,34.1650408555255
"91",1,-118.475278234849,34.165091855515
"92",1,-118.475609235623,34.1651568552016
"93",1,-118.475943234917,34.1652068549715
"94",1,-118.476280235812,34.165241854787
"95",1,-118.476619235179,34.1652628547784
"96",1,-118.476959235844,34.1652688554468
"97",1,-118.477033235638,34.1652738555925
"98",1,-118.48363623615,34.1651848547491
"99",1,-118.487750236912,34.1651298548738
"100",1,-118.48847423751,34.1651198544373
"101",1,-118.490319237922,34.1650908541593
"102",1,-118.490534238261,34.1650908539826
"103",1,-118.49074423754,34.1650978543533
"104",1,-118.49088723752,34.1651028544751
"105",1,-118.490978237472,34.1651098542282
"106",1,-118.491237237747,34.1651308540535
"107",1,-118.491586238179,34.1651728540141
"108",1,-118.491817238175,34.1652098542851
"109",1,-118.492160238507,34.1652778540059
"110",1,-118.492369238355,34.1653308540656
"111",1,-118.492546238587,34.1653758540095
"112",1,-118.492721238304,34.1654238540623
"113",1,-118.493049238589,34.165530854465
"114",1,-118.493370237907,34.1656518546335
"115",1,-118.493683238572,34.1657868541897
"116",1,-118.493886238865,34.1658848540301
"117",1,-118.494184238151,34.166041854378
"118",1,-118.494471238599,34.1662118541218
"119",1,-118.497417239203,34.1681168540452
"120",1,-118.497646239726,34.1682648546599
"121",1,-118.498738239073,34.1689788539609
"122",1,-118.499766239368,34.1696588539114
"123",1,-118.500110239851,34.1698698539422
"124",1,-118.500346240097,34.1700018542354
"125",1,-118.500588239501,34.1701268540098
"126",1,-118.500710239691,34.1701858542969
"127",1,-118.501105239581,34.1703578542175
"128",1,-118.501105239527,34.170574854418
"129",1,-118.501106240146,34.1707608545651
"130",1,-118.501106240209,34.1709478541609
"131",1,-118.501106240532,34.1711428540376
"132",1,-118.501032239516,34.1714688543341
"133",1,-118.501030239692,34.1722218546492
"134",1,-118.501096240032,34.1722228541694
"135",1,-118.501163239864,34.1722228542095
"136",1,-118.505472240923,34.1722388545887
"137",1,-118.505952240809,34.1722408538229
"138",1,-118.505892241429,34.1725138546378
"139",1,-118.50589524048,34.1732518542917
"140",1,-118.50591224116,34.173329854007
"141",1,-118.505947241177,34.173402854197
"142",1,-118.50599324102,34.1734638548093
"143",1,-118.506118240696,34.1735848542048
"144",1,-118.506044240531,34.1736468545896
"145",1,-118.50597624128,34.1737268543517
"146",1,-118.505930241343,34.1738048543815
"147",1,-118.505897240571,34.1738988546769
"148",1,-118.505894240852,34.1739168547913
"149",1,-118.505898241674,34.1762948543845
"150",1,-118.505905241189,34.1796668547251
"151",1,-118.505922241667,34.1797098547844
"152",1,-118.505953242042,34.1797458553036
"153",1,-118.505960241932,34.1797508548223
"154",1,-118.505484241155,34.1802408552989
"155",1,-118.507593241323,34.1802358549667
"156",1,-118.508626242116,34.1802338546984
"157",1,-118.509194241778,34.1801638553429
"158",1,-118.509842241744,34.1801618548098
"159",1,-118.510444242725,34.1801608545341
"160",1,-118.514923243378,34.1801488543113
"161",1,-118.515819243377,34.1801468547097
"162",1,-118.515978243126,34.1802068548104
"163",1,-118.515972242702,34.1802248544627
"164",1,-118.515905243413,34.1804318549585
"165",1,-118.515888243405,34.1820938544198
"166",1,-118.515883243627,34.1831158544571
"167",1,-118.518506244308,34.1831128549014
"168",1,-118.518503244314,34.18389785449
"169",1,-118.51849924385,34.1849278553005
"170",1,-118.518499243694,34.1849858551482
"171",1,-118.518499244084,34.1850348548928
"172",1,-118.518497498085,34.1854956552684
"173",1,-118.51849324419,34.1866178552438
"174",1,-118.514217243848,34.186619855495
"175",1,-118.509850242915,34.1866258557454
"176",1,-118.507917242642,34.1866268552768
"177",1,-118.504020241281,34.1866298554985
"178",1,-118.50112224109,34.1866318562667
"179",1,-118.499156240734,34.1866338559183
"180",1,-118.497750241152,34.1866348565036
"181",1,-118.497156240653,34.1866348562731
"182",1,-118.492390240239,34.1866388570174
"183",1,-118.49020623981,34.1866398566639
"184",1,-118.485840239267,34.1866428565433
"185",1,-118.48442023809,34.1866438566846
"186",1,-118.483657238502,34.1866438574342
"187",1,-118.482500238217,34.1866448568382
"188",1,-118.482210237622,34.186644857549
"189",1,-118.481473238011,34.186645856973
"190",1,-118.479289237332,34.1866468569361
"191",1,-118.478355236968,34.1866468571123
"192",1,-118.477423237405,34.186647857314
"193",1,-118.476957236945,34.1866478575248
"194",1,-118.476490237628,34.1866488578807
"195",1,-118.475558236745,34.1866488574314
"196",1,-118.474926236583,34.1866488577595
"197",1,-118.474289236608,34.1866498579715
"198",1,-118.474268237122,34.1866498573709
"199",1,-118.474036237157,34.1866498580707
"200",1,-118.474002236672,34.186397857423
"201",1,-118.47395523669,34.1861458572194
"202",1,-118.473876236445,34.1858158575607
"203",1,-118.473813236802,34.1856028575318
"204",1,-118.473807237028,34.1855828578154
"205",1,-118.473687237141,34.1852418575648
"206",1,-118.473546236569,34.1849078578454
"207",1,-118.473440236388,34.184687857825
"208",1,-118.473325236946,34.1844718570061
"209",1,-118.473202236103,34.1842588570597
"210",1,-118.473069235906,34.1840498574708
"211",1,-118.472928236808,34.1838448575972
"212",2,-118.286319214158,34.2920798798002
"213",2,-118.286330213901,34.291770880222
"214",2,-118.286425213687,34.2890998795132
"215",2,-118.286476213547,34.2871438789888
"216",2,-118.286592213646,34.2827218792862
"217",2,-118.286622213587,34.2815668786439
"218",2,-118.286706212783,34.2783418781003
"219",2,-118.279620211707,34.2781948786275
"220",2,-118.273692210841,34.2780718788867
"221",2,-118.27361221136,34.2800848792205
"222",2,-118.273549210637,34.2816658793825
"223",2,-118.269063209888,34.2816568797105
"224",2,-118.269009210064,34.2816558799774
"225",2,-118.26895521017,34.2816568798212
"226",2,-118.260462208568,34.2816398806002
"227",2,-118.251018207874,34.2816208809345
"228",2,-118.24387420614,34.2816048809931
"229",2,-118.238801205212,34.2815938818898
"230",2,-118.238809205101,34.2805798816945
"231",2,-118.238821204742,34.2789898816538
"232",2,-118.238856204524,34.2744628805202
"233",2,-118.2388922046,34.2699368804047
"234",2,-118.238914203833,34.2671328795526
"235",2,-118.238915203936,34.2670888800694
"236",2,-118.242022204364,34.2671408796786
"237",2,-118.245128205215,34.2671938798194
"238",2,-118.247633206082,34.2672368790396
"239",2,-118.25462420648,34.2672048788344
"240",2,-118.256702206873,34.2671948788285
"241",2,-118.256662206667,34.2640608786556
"242",2,-118.256647207237,34.2628788785406
"243",2,-118.256583205802,34.2578148776258
"244",2,-118.256519205501,34.2527928769657
"245",2,-118.256512205345,34.2522708768707
"246",2,-118.257186206329,34.2522798775161
"247",2,-118.265276207648,34.252384876394
"248",2,-118.265392207949,34.2535478773484
"249",2,-118.265277207024,34.2542908768565
"250",2,-118.2652502071,34.2546218773059
"251",2,-118.265417207688,34.2552758768504
"252",2,-118.265420208113,34.2554658775039
"253",2,-118.265454208094,34.2554788769944
"254",2,-118.265499207285,34.255525877134
"255",2,-118.265420207731,34.2554848773264
"256",2,-118.265297207854,34.2573458772045
"257",2,-118.265297207603,34.2573628774246
"258",2,-118.265302207613,34.2599588775597
"259",2,-118.267118208561,34.2599518776823
"260",2,-118.277297209485,34.2599108768458
"261",2,-118.277434209658,34.2599078772978
"262",2,-118.27742621015,34.2607318768575
"263",2,-118.277417210381,34.2615548770938
"264",2,-118.277416209727,34.2616108772609
"265",2,-118.278172210717,34.2615648772471
"266",2,-118.278528210001,34.2614798771165
"267",2,-118.278451210438,34.2615218772989
"268",2,-118.277973210144,34.2617948774718
"269",2,-118.277746209757,34.2618448773458
"270",2,-118.277574210536,34.2618818767986
"271",2,-118.277297210513,34.2619608774034
