"","Community","totUnsheltPeople","totSheltPeople","totPeople","Year"
"1","Adams",225,84,309,"2016"
"2","Adams-La Brea",92,0,92,"2016"
"3","Agoura Hills",21,0,21,"2016"
"4","Agua Dulce",86,0,86,"2016"
"5","Alhambra",48,16,64,"2016"
"6","Alondra Park",22,0,22,"2016"
"7","Altadena",58,0,58,"2016"
"8","Angeles National Forest",41,138,179,"2016"
"9","Arcadia",12,0,12,"2016"
"10","Arleta",87,10,97,"2016"
"11","Artesia",8,24,32,"2016"
"12","Atwater Village",30,50,80,"2016"
"13","Avalon",18,0,18,"2016"
"14","Avocado Heights",107,0,107,"2016"
"15","Azusa",55,0,55,"2016"
"16","Baldwin Hills / Crenshaw",292,91,383,"2016"
"17","Baldwin Park",111,0,111,"2016"
"18","Bel Air-Beverly Crest",2,0,2,"2016"
"19","Bell",62,0,62,"2016"
"20","Bell Gardens",104,0,104,"2016"
"21","Bellflower",176,65,241,"2016"
"22","Beverly Hills",16,0,16,"2016"
"23","Boyle Heights",485,269,754,"2016"
"24","Bradbury",0,0,0,"2016"
"25","Brentwood",44,0,44,"2016"
"26","Burbank",120,47,167,"2016"
"27","Calabasas",0,0,0,"2016"
"28","Calabasas and Hidden Hills",0,0,0,"2016"
"29","Canoga Park",163,76,239,"2016"
"30","Canyon Country",42,0,42,"2016"
"31","Carson",213,156,369,"2016"
"32","Central Alameda",132,0,132,"2016"
"33","Cerritos",27,0,27,"2016"
"34","Charter Oak",13,0,13,"2016"
"35","Chatsworth",131,90,221,"2016"
"36","Chinatown",234,43,277,"2016"
"37","Citrus",18,0,18,"2016"
"38","Claremont",6,21,27,"2016"
"39","Commerce",72,399,471,"2016"
"40","Compton",355,145,500,"2016"
"41","Covina",20,33,53,"2016"
"42","Cudahy",63,56,119,"2016"
"43","Culver City",73,49,122,"2016"
"44","Cypress Park",51,0,51,"2016"
"45","Del Aire",7,0,7,"2016"
"46","Del Rey",179,0,179,"2016"
"47","Diamond Bar",6,0,6,"2016"
"48","Downey",200,9,209,"2016"
"49","Downtown Los Angeles",873,161,1034,"2016"
"50","Duarte",23,37,60,"2016"
"51","Eagle Rock",174,0,174,"2016"
"52","East Los Angeles",246,42,288,"2016"
"53","East Pasadena",12,0,12,"2016"
"54","East San Gabriel",2,12,14,"2016"
"55","Echo Park",265,249,514,"2016"
"56","El Monte",60,209,269,"2016"
"57","El Segundo",20,0,20,"2016"
"58","El Sereno",39,29,68,"2016"
"59","Elysian Valley",10,0,10,"2016"
"60","Encino",29,0,29,"2016"
"61","Florence-Graham",503,40,543,"2016"
"62","Foothill Trails",99,0,99,"2016"
"63","Gardena",128,58,186,"2016"
"64","Glassell Park",32,0,32,"2016"
"65","Glendora",65,205,270,"2016"
"66","Granada Hills",105,0,105,"2016"
"67","Green Meadows",364,132,496,"2016"
"68","Hacienda Heights",220,0,220,"2016"
"69","Harbor City",137,0,137,"2016"
"70","Harbor Gateway",150,0,150,"2016"
"71","Hawaiian Gardens",12,0,12,"2016"
"72","Hawthorne",93,7,100,"2016"
"73","Hermosa Beach",14,6,20,"2016"
"74","Highland Park",108,0,108,"2016"
"75","Hollywood",1247,430,1677,"2016"
"76","Hollywood Hills West",111,0,111,"2016"
"77","Huntington Park",83,0,83,"2016"
"78","Industry",72,0,72,"2016"
"79","Inglewood",215,287,502,"2016"
"80","Irwindale",1,0,1,"2016"
"81","La Cañada Flintridge",2,0,2,"2016"
"82","La Crescenta-Montrose",3,0,3,"2016"
"83","La Habra Heights",10,0,10,"2016"
"84","La Mirada",33,0,33,"2016"
"85","La Puente",49,0,49,"2016"
"86","La Rambla",44,0,44,"2016"
"87","La Verne",6,0,6,"2016"
"88","Ladera Heights",0,0,0,"2016"
"89","Lake Balboa",215,0,215,"2016"
"90","Lakewood",49,0,49,"2016"
"91","Lancaster",688,367,1055,"2016"
"92","Lawndale",14,29,43,"2016"
"93","Lennox",139,0,139,"2016"
"94","Lincoln Heights",112,0,112,"2016"
"95","Lomita",19,14,33,"2016"
"96","Los Feliz",141,0,141,"2016"
"97","Lynwood",118,0,118,"2016"
"98","Malibu",161,0,161,"2016"
"99","Malibu Lake",0,0,0,"2016"
"100","Manhattan Beach",4,0,4,"2016"
"101","Mar Vista",194,9,203,"2016"
"102","Marina del Rey",35,0,35,"2016"
"103","Mayflower Village",18,0,18,"2016"
"104","Maywood",79,46,125,"2016"
"105","Mid-City West",164,17,181,"2016"
"106","Mid City",80,0,80,"2016"
"107","Miracle Mile",202,0,202,"2016"
"108","Mission Hills",51,0,51,"2016"
"109","Monrovia",61,0,61,"2016"
"110","Montebello",52,0,52,"2016"
"111","Monterey Park",7,0,7,"2016"
"112","North El Monte",1,0,1,"2016"
"113","North Hills",320,47,367,"2016"
"114","North Hollywood",727,9,736,"2016"
"115","Northridge",131,83,214,"2016"
"116","Norwalk",155,101,256,"2016"
"117","Pacific Palisades",198,0,198,"2016"
"118","Pacoima",265,152,417,"2016"
"119","Palmdale",233,0,233,"2016"
"120","Palms",159,46,205,"2016"
"121","Palos Verdes Estates",4,0,4,"2016"
"122","Panorama City",118,63,181,"2016"
"123","Paramount",50,0,50,"2016"
"124","Pico Rivera",105,0,105,"2016"
"125","Pico Union",206,7,213,"2016"
"126","Pomona",366,323,689,"2016"
"127","Porter Ranch",8,0,8,"2016"
"128","Rampart Village",207,68,275,"2016"
"129","Rancho Palos Verdes",1,0,1,"2016"
"130","Redondo Beach",216,0,216,"2016"
"131","Reseda",153,41,194,"2016"
"132","Rolling Hills",0,0,0,"2016"
"133","Rolling Hills Estates",0,0,0,"2016"
"134","Rosemead",24,0,24,"2016"
"135","Rowland Heights",58,8,66,"2016"
"136","San Dimas",8,26,34,"2016"
"137","San Fernando",24,0,24,"2016"
"138","San Gabriel",9,0,9,"2016"
"139","San Marino",1,0,1,"2016"
"140","San Pasqual",0,0,0,"2016"
"141","San Pedro",345,97,442,"2016"
"142","Santa Clarita",217,99,316,"2016"
"143","Santa Fe Springs",68,43,111,"2016"
"144","Santa Monica",491,221,712,"2016"
"145","Santa Susana Mountains",0,0,0,"2016"
"146","Sherman Oaks",88,31,119,"2016"
"147","Sierra Madre",5,0,5,"2016"
"148","Signal Hill",35,0,35,"2016"
"149","Silver Lake",160,0,160,"2016"
"150","Skid Row",1777,1914,3691,"2016"
"151","South Central",643,254,897,"2016"
"152","South El Monte",33,0,33,"2016"
"153","South Gate",122,0,122,"2016"
"154","South Park",1220,62,1282,"2016"
