"","Community","totUnsheltPeople","totSheltPeople","totPeople","Year"
"155","South Pasadena",9,0,9,"2016"
"156","South San Gabriel",6,0,6,"2016"
"157","South San Jose Hills",0,0,0,"2016"
"158","South Vermont",243,208,451,"2016"
"159","South Whittier",133,97,230,"2016"
"160","Stevenson Ranch",9,0,9,"2016"
"161","Studio City",115,0,115,"2016"
"162","Sun Valley",434,471,905,"2016"
"163","Sunland-Tujunga",175,0,175,"2016"
"164","Sylmar",221,16,237,"2016"
"165","Tarzana",88,0,88,"2016"
"166","Temple City",19,0,19,"2016"
"167","Topanga",0,0,0,"2016"
"168","Torrance",107,0,107,"2016"
"169","Unincorporated Antelope Valley",1483,0,1483,"2016"
"170","Unincorporated Catalina",19,0,19,"2016"
"171","Unincorporated East Whittier",23,0,23,"2016"
"172","Unincorporated Whittier",5,6,11,"2016"
"173","Universal City",3,0,3,"2016"
"174","University Park",57,0,57,"2016"
"175","US Department of Affairs West LA Campus",39,345,384,"2016"
"176","Valinda",4,0,4,"2016"
"177","Valley Village",63,0,63,"2016"
"178","Van Nuys",416,58,474,"2016"
"179","Venice",871,18,889,"2016"
"180","Vermont Square",632,664,1296,"2016"
"181","Vernon",55,0,55,"2016"
"182","View Park-Windsor Hills",20,0,20,"2016"
"183","Vincent",0,0,0,"2016"
"184","Walnut",3,0,3,"2016"
"185","Walnut Park",9,0,9,"2016"
"186","Watts",208,94,302,"2016"
"187","West Adams-Expo Park",178,122,300,"2016"
"188","West Carson",132,6,138,"2016"
"189","West Compton",119,0,119,"2016"
"190","West Covina",48,0,48,"2016"
"191","West Hills",35,0,35,"2016"
"192","West Hollywood",81,0,81,"2016"
"193","West Los Angeles",108,120,228,"2016"
"194","West Puente Valley",36,0,36,"2016"
"195","West Whittier-Los Nietos",36,0,36,"2016"
"196","Westchester/Playa Del Rey",515,17,532,"2016"
"197","Westlake",571,457,1028,"2016"
"198","Westlake Village",41,0,41,"2016"
"199","Westmont / West Athens",349,16,365,"2016"
"200","Westside",123,103,226,"2016"
"201","Westwood",144,123,267,"2016"
"202","Whittier",179,79,258,"2016"
"203","Whittier Narrows",5,60,65,"2016"
"204","Willowbrook",329,0,329,"2016"
"205","Wilmington",594,19,613,"2016"
"206","Wilshire Center-Koreatown",327,22,349,"2016"
"207","Winnetka",92,0,92,"2016"
"208","Woodland Hills",180,0,180,"2016"
