"","Community","totUnsheltPeople","totSheltPeople","totPeople","Year"
"152","Skid Row",1955,2112,4067,"2015"
"153","South Central",329,529,858,"2015"
"154","South El Monte",25,0,25,"2015"
"155","South Gate",212,0,212,"2015"
"156","South Park",394,75,469,"2015"
"157","South Pasadena",0,0,0,"2015"
"158","South San Gabriel",0,0,0,"2015"
"159","South San Jose Hills",2,0,2,"2015"
"160","South Vermont",643,446,1089,"2015"
"161","South Whittier",112,65,177,"2015"
"162","Stevenson Ranch",0,0,0,"2015"
"163","Studio City",77,0,77,"2015"
"164","Sun Valley",252,33,285,"2015"
"165","Sunland-Tujunga",169,0,169,"2015"
"166","Sylmar",300,142,442,"2015"
"167","Tarzana",91,0,91,"2015"
"168","Temple City",2,0,2,"2015"
"169","Topanga",0,0,0,"2015"
"170","Torrance",79,0,79,"2015"
"171","Unincorporated Antelope Valley",1015,0,1015,"2015"
"172","Unincorporated Catalina",2,0,2,"2015"
"173","Universal City",8,0,8,"2015"
"174","Valinda",0,0,0,"2015"
"175","Valley Village",81,0,81,"2015"
"176","Van Nuys",272,73,345,"2015"
"177","Venice",1107,58,1165,"2015"
"178","Vermont Square",428,366,794,"2015"
"179","Vernon",20,0,20,"2015"
"180","Veterans Administration",26,490,516,"2015"
"181","View Park-Windsor Hills",12,0,12,"2015"
"182","Vincent",0,0,0,"2015"
"183","Walnut",6,0,6,"2015"
"184","Walnut Park",0,0,0,"2015"
"185","Watts",365,96,461,"2015"
"186","West Adams-Expo Park",292,192,484,"2015"
"187","West Carson",43,6,49,"2015"
"188","West Compton",118,0,118,"2015"
"189","West Covina",69,0,69,"2015"
"190","West Hills",0,0,0,"2015"
"191","West Hollywood",101,0,101,"2015"
"192","West Puente Valley",9,0,9,"2015"
"193","West Whittier-Los Nietos",33,0,33,"2015"
"194","Westchester/Playa Del Rey",198,0,198,"2015"
"195","Westlake",633,755,1388,"2015"
"196","Westlake Village",1,0,1,"2015"
"197","Westmont / West Athens",277,0,277,"2015"
"198","Westside",51,133,184,"2015"
"199","Westwood",106,123,229,"2015"
"200","Whittier",215,154,369,"2015"
"201","Whittier Narrows",9,41,50,"2015"
"202","Willowbrook",813,0,813,"2015"
"203","Wilmington",434,28,462,"2015"
"204","Wilshire Center-Koreatown",221,70,291,"2015"
"205","Winnetka",63,0,63,"2015"
"206","Woodland Hills",151,0,151,"2015"
